135	He figured a few sticks of dynamite were easier than a fishing pole to catch fish.
136	The shooter says goodbye to his love.
137	He was sure the Devil created red sparkly glitter.
144	He uses onomatopoeia as a weapon of mental destruction.
149	The beauty of the sunset was obscured by the industrial cranes.
150	Seek success, but always be prepared for random cats.
151	Smoky the Bear secretly started the fires.
155	The hummingbird's wings blurred while it eagerly sipped the sugar water from the feeder.
158	The sight of his goatee made me want to run and hide under my sister-in-law's bed.
161	You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.
162	Last Friday I saw a spotted striped blue worm shake hands with a legless lizard.
164	He wondered why at 18 he was old enough to go to war, but not old enough to buy cigarettes.
166	The view from the lighthouse excited even the most seasoned traveler.
167	It's a skateboarding penguin with a sunhat!
169	Beach-combing replaced wine tasting as his new obsession.
171	Check back tomorrow; I will see if the book has arrived.
174	He found rain fascinating yet unpleasant.
175	When money was tight, he'd get his lunch money from the local wishing well.
176	It didn't take long for Gary to detect the robbers were amateurs.
177	Warm beer on a cold day isn't my idea of fun.
182	She hadn't had her cup of coffee, and that made things all the worse.
183	The old rusted farm equipment surrounded the house predicting its demise.
186	Patricia loves the sound of nails strongly pressed against the chalkboard.
188	He is good at eating pickles and telling women about his emotional problems.
190	You can't compare apples and oranges, but what about bananas and plantains?
192	You're good at English when you know the difference between a man eating chicken and a man-eating chicken.
193	Lets all be unique together until we realise we are all the same.
195	The rain pelted the windshield as the darkness engulfed us.
198	100 years old is such a young age if you happen to be a bristlecone pine.
203	He realized there had been several deaths on this road, but his concern rose when he saw the exact number.
205	I come from a tribe of head-hunters, so I will never need a shrink.
206	Love is not like pizza.
209	He ran out of money, so he had to stop playing poker.
212	He hated that he loved what she hated about hate.
213	He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility.
214	Everything was going so well until I was accosted by a purple giraffe.
217	The door slammed on the watermelon.
224	She lived on Monkey Jungle Road and that seemed to explain all of her strangeness.
225	So long and thanks for the fish.
226	They were excited to see their first sloth.
229	The doll spun around in circles in hopes of coming alive.
230	He colored deep space a soft yellow.
232	Flesh-colored yoga pants were far worse than even he feared.
233	Having no hair made him look even hairier.
238	The pigs were insulted that they were named hamburgers.
240	The lyrics of the song sounded like fingernails on a chalkboard.
248	While all her friends were positive that Mary had a sixth sense, she knew she actually had a seventh sense.
249	The near-death experience brought new ideas to light.
253	He had a hidden stash underneath the floorboards in the back room of the house.
254	He knew it was going to be a bad day when he saw mountain lions roaming the streets.
255	Nobody loves a pig wearing lipstick.
256	Imagine his surprise when he discovered that the safe was full of pudding.
257	Sometimes you have to just give up and win by cheating.
258	The child’s favorite Christmas gift was the large box her father’s lawnmower came in.
260	I think I will buy the red car, or I will lease the blue one.
261	Giving directions that the mountains are to the west only works when you can see them.
262	He went on a whiskey diet and immediately lost three days.
263	Her daily goal was to improve on yesterday.
265	We have never been to Asia, nor have we visited Africa.
268	Peter found road kill an excellent way to save money on dinner.
269	She had convinced her kids that any mushroom found on the ground would kill them if they touched it.
270	Please put on these earmuffs because I can't you hear.
271	She saw the brake lights, but not in time.
275	It doesn't sound like that will ever be on my travel list.
276	Potato wedges probably are not best for relationships.
277	There's an art to getting your way, and spitting olive pits across the table isn't it.
280	Nancy was proud that she ran a tight shipwreck.
282	Patricia loves the sound of nails strongly pressed against the chalkboard.
283	She thought there'd be sufficient time if she hid her watch.
286	If you really strain your ears, you can just about hear the sound of no one giving a damn.
289	It took me too long to realize that the ceiling hadn't been painted to look like the sky.
290	The bullet pierced the window shattering it before missing Danny's head by mere millimeters.
291	The bird had a belief that it was really a groundhog.
292	It isn't difficult to do a handstand if you just stand on your hands.
295	I love bacon, beer, birds, and baboons.
296	Purple is the best city in the forest.
297	There's probably enough glass in my cupboard to build an undersea aquarium.
299	He was 100% into fasting with her until he understood that meant he couldn't eat.
300	Her hair was windswept as she rode in the black convertible.
304	Boulders lined the side of the road foretelling what could come next.
305	The newly planted trees were held up by wooden frames in hopes they could survive the next storm.
307	Their argument could be heard across the parking lot.
309	Everything was going so well until I was accosted by a purple giraffe.
311	Dan took the deep dive down the rabbit hole.
312	All you need to do is pick up the pen and begin.
316	Joyce enjoyed eating pancakes with ketchup.
318	Tomatoes make great weapons when water balloons aren’t available.
322	Edith could decide if she should paint her teeth or brush her nails.
325	Greetings from the real universe.
326	We have never been to Asia, nor have we visited Africa.
327	That was how he came to win $1 million.
333	In that instant, everything changed.
334	Today is the day I'll finally know what brick tastes like.
335	Before he moved to the inner city, he had always believed that security complexes were psychological.
337	Please tell me you don't work in a morgue.
338	At last
339	There's a growing trend among teenagers of using frisbees as go-cart wheels.
342	Toddlers feeding raccoons surprised even the seasoned park ranger.
344	I never knew what hardship looked like until it started raining bowling balls.
345	The Tsunami wave crashed against the raised houses and broke the pilings as if they were toothpicks.
346	Harrold felt confident that nobody would ever suspect his spy pigeon.
349	She had convinced her kids that any mushroom found on the ground would kill them if they touched it.
351	She had some amazing news to share but nobody to share it with.
352	Eating eggs on Thursday for choir practice was recommended.
357	Courage and stupidity were all he had.
358	He didn't heed the warning and it had turned out surprisingly well.
359	Whenever he saw a red flag warning at the beach he grabbed his surfboard.
360	The fact that there's a stairway to heaven and a highway to hell explains life well.
362	The fog was so dense even a laser decided it wasn't worth the effort.
364	I used to practice weaving with spaghetti three hours a day but stopped because I didn't want to die alone.
367	The manager of the fruit stand always sat and only sold vegetables.
368	When motorists sped in and out of traffic, all she could think of was those in need of a transplant.
369	I’m a living furnace.
370	I only enjoy window shopping when the windows are transparent.
374	Too many prisons have become early coffins.
375	Tom got a small piece of pie.
379	8% of 25 is the same as 25% of 8 and one of them is much easier to do in your head.
382	Charles ate the french fries knowing they would be his last meal.
385	She had a difficult time owning up to her own crazy self.
387	They say people remember important moments in their life well, yet no one even remembers their own birth.
389	Iguanas were falling out of the trees.
390	The rain pelted the windshield as the darkness engulfed us.
394	There were white out conditions in the town; subsequently, the roads were impassable.
397	He found rain fascinating yet unpleasant.
398	My Mum tries to be cool by saying that she likes all the same things that I do.
399	It was always dangerous to drive with him since he insisted the safety cones were a slalom course.
402	He was willing to find the depths of the rabbit hole in order to be with her.
403	Malls are great places to shop; I can find everything I need under one roof.
404	Andy loved to sleep on a bed of nails.
405	It was the best sandcastle he had ever seen.
406	Flesh-colored yoga pants were far worse than even he feared.
407	Thirty years later, she still thought it was okay to put the toilet paper roll under rather than over.
408	They throw cabbage that turns your brain into emotional baggage.
410	The wake behind the boat told of the past while the open sea for told life in the unknown future.
411	This book is sure to liquefy your brain.
412	It was at that moment that he learned there are certain parts of the body that you should never Nair.
413	He decided that the time had come to be stronger than any of the excuses he'd used until then.
414	She hadn't had her cup of coffee, and that made things all the worse.
415	The hand sanitizer was actually clear glue.
419	Nobody has encountered an explosive daisy and lived to tell the tale.
420	He is no James Bond; his name is Roger Moore.
422	I ate a sock because people on the Internet told me to.
425	I can't believe this is the eighth time I'm smashing open my piggy bank on the same day!
427	The body piercing didn't go exactly as he expected.
428	At that moment she realized she had a sixth sense.
429	Little Red Riding Hood decided to wear orange today.
430	The small white buoys marked the location of hundreds of crab pots.
436	Sixty-Four comes asking for bread.
437	Separation anxiety is what happens when you can't find your phone.
438	When transplanting seedlings, candied teapots will make the task easier.
439	Most shark attacks occur about 10 feet from the beach since that's where the people are.
441	It turns out you don't need all that stuff you insisted you did.
443	So long and thanks for the fish.
445	The elephant didn't want to talk about the person in the room.
448	It's important to remember to be aware of rampaging grizzly bears.
450	Your girlfriend bought your favorite cookie crisp cereal but forgot to get milk.
451	The ants enjoyed the barbecue more than the family.
453	Karen believed all traffic laws should be obeyed by all except herself.
454	You realize you're not alone as you sit in your bedroom massaging your calves after a long day of playing tug-of-war with Grandpa Joe in the hospital.
456	The bees decided to have a mutiny against their queen.
457	As he entered the church he could hear the soft voice of someone whispering into a cell phone.
459	He set out for a short walk, but now all he could see were mangroves and water were for miles.
461	He had accidentally hacked into his company's server.
465	He stomped on his fruit loops and thus became a cereal killer.
466	It caught him off guard that space smelled of seared steak.
470	The reservoir water level continued to lower while we enjoyed our long shower.
471	They looked up at the sky and saw a million stars.
472	The toddler’s endless tantrum caused the entire plane anxiety.
473	He was sure the Devil created red sparkly glitter.
476	The crowd yells and screams for more memes.
477	Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.
478	The skeleton had skeletons of his own in the closet.
479	Smoky the Bear secretly started the fires.
